Iteration,Timestamp,Namespace,Service,Timeout(s),Delay(s),Rate,Duration,Total,SuccessRatio(%),SuccessCount,Errors,TimeoutHits,TimeoutHitRate(%),TimeoutAccuracyMean(ms),TimeoutAccuracyP95(ms),WastedTimeMean(ms),WastedTimeP95(ms),P95_200(ms),P99_200(ms)
120,20250826_015025,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.048853,891.188923
121,20250826_015127,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.278888,891.174493
122,20250826_015229,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,845.447343,896.358213
123,20250826_015331,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.457777,886.618808
124,20250826_015433,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.3647,888.332265
125,20250826_015536,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.580164,886.61397
126,20250826_015638,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.299233,882.019788
127,20250826_015740,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.299399,886.761247
128,20250826_015842,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.615413,889.189399
129,20250826_015944,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,847.631523,890.814765
130,20250826_020047,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.28026,883.307106
131,20250826_020149,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.949568,889.125657
132,20250826_020251,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.117197,884.155629
133,20250826_020353,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.29342,883.314753
134,20250826_020455,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,841.938554,889.098367
135,20250826_020557,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.028389,895.697793
136,20250826_020659,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,849.214903,888.846283
137,20250826_020801,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,843.787403,891.901837
138,20250826_020904,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.308489,890.889815
139,20250826_021006,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,847.053324,892.641385
140,20250826_021108,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.617273,889.650012
141,20250826_021210,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.909602,888.986643
142,20250826_021312,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,845.210109,881.986183
143,20250826_021414,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.349747,895.480763
144,20250826_021516,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,848.268801,893.057938
145,20250826_021618,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,842.099815,888.077748
146,20250826_021720,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.952714,889.491726
147,20250826_021823,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,837.222012,884.439736
148,20250826_021925,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,844.462567,886.03663
149,20250826_022028,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,846.722347,886.243694
150,20250826_022130,objs-fed,backend,1,0.8,60,60s,3600,100,3600,0,0,0,0,0,0,0,847.284996,888.705707
1,20250826_073823,objs-fed,backend,1,1,60,60s,3600,51.86,1867,1733,1733,48.138889,13.641999,63.0084,1013.642,1063.00837,0,0
2,20250826_073927,objs-fed,backend,1,1,60,60s,3600,54,1944,1656,1656,46,0,0,0,0,1011.70386,1049.231946
3,20250826_074029,objs-fed,backend,1,1,60,60s,3600,51.67,1860,1740,1740,48.333333,0,0,0,0,1012.394158,1046.089652
4,20250826_074131,objs-fed,backend,1,1,60,60s,3600,51.25,1845,1755,1755,48.75,0,0,0,0,1011.481451,1040.675113
5,20250826_074233,objs-fed,backend,1,1,60,60s,3600,51.97,1871,1729,1729,48.027778,0,0,0,0,1012.572227,1048.920247
6,20250826_074335,objs-fed,backend,1,1,60,60s,3600,51.58,1857,1743,1743,48.416667,0,0,0,0,1012.855395,1053.22081
7,20250826_074437,objs-fed,backend,1,1,60,60s,3600,51.61,1858,1742,1742,48.388889,0,0,0,0,1013.730644,1051.996294
8,20250826_074540,objs-fed,backend,1,1,60,60s,3600,54.78,1972,1628,1628,45.222222,0,0,0,0,1012.447172,1045.464041
9,20250826_074643,objs-fed,backend,1,1,60,60s,3600,54.14,1949,1651,1651,45.861111,0,0,0,0,1012.827386,1047.416099
10,20250826_074748,objs-fed,backend,1,1,60,60s,3600,53.69,1933,1667,1667,46.305556,0,0,0,0,1012.562743,1038.335336
11,20250826_074852,objs-fed,backend,1,1,60,60s,3600,51,1836,1764,1764,49,0,0,0,0,1012.45744,1033.470786
12,20250826_074955,objs-fed,backend,1,1,60,60s,3600,53.44,1924,1676,1676,46.555556,0,0,0,0,1012.329227,1049.695153
13,20250826_075057,objs-fed,backend,1,1,60,60s,3600,51.75,1863,1737,1737,48.25,13.567227,58.6106,1013.567227,1058.610624,0,0
